"name","orig_id","streetAddress","state","location"
"SUPERMERCADO JOEL Y JIMENEZ","ADR006468","Av Juan Pablo Duarte No 83","San Cristobal","18.672878,-70.174843"
"COOPERATIVA LA CANDELARIA","ADR007403","Av Maria Estevez","Monte Plata","18.771755,-70.025299"
"FACIL COMERCIAL","ADR007173","Duarte No.36","Santo Domingo","18.447722,-69.606944"
"COOPERATIVA EL PROGRESO","ADR002057","Calle Gaston F  Deligne No  2","Monte Plata","18.756111,-69.637531"
"COOP DE AHORRO Y CREDITO EL PR","ADR006040","Calle Principal, El Caserio","Monte Plata","18.812406,-70.034767"
"AGENCIA MELO","ADR000044","Calle Duarte 33","Peravia","18.278767,-70.332014"
"ASOC PERAVIA DE AHORROS Y PRES","ADR004071","C/ Sanchez No. 56","Peravia","18.243494,-70.198578"
"COOPERATIVA DE AHORRO Y CREDIT","ADR004334","Calle Duarte No. 78-b","Peravia","18.244297,-70.199598"
"COOP NUESTRA SRA  DE LA CANDEL","ADR003883","Calle Altagracia No. 65","Monte Plata","18.809271,-69.784846"
"MAGNOLIA MELO MULTISERVICE  SR","ADR004367","Ave Maximo Gomez Edificio La Sirena","Peravia","18.280434,-70.341379"
"RUAMAR","ADR006875","Mella No.03, Pueblo Abajo","Monte Plata","18.753512,-69.63596"
"ASOC PERAVIA DE AHORROS Y PRES","ADR004729","Calle Duarte No.54, Distrito","Peravia","18.265291,-70.293391"
"RUAMAR SRL","ADR007106","Edif Billini Local 2","Peravia","18.279749,-70.333341"
